Row	date_modified	ID	collector_id	date_created	Complete	Part_one_complete	Location	Type_respondent	Gender	Where_municipality	Cent_per	Residence	Bergen	Local_center	Mother	Father	Dialect_mother	Dialect_father	Future_edu	Future_edu_binom	Dialect_own	Dialect_own_orig	Dialect_old_people	Dialect_old_people_orig	inf_orig	inf	fem_strong	fem_strong_orig	fem_weak	fem_weak_orig	pronoun_pl	pronoun_pl_orig	pronoun_it	pronoun_it_orig	Written_language_school_cat	Written_language_school	Main_written_language	Sports	Car_scooter_boat	Friends	Mall	Gas_station	Social_media	Gaming	Facebook	Instagram	Youtube	Twitter	Snapchat	Broad_dialect	Demonym	Called	Insulted	C1	C2	C8	C6	S2	S3	S6	S1	C9	S10	S4	C3	S5	C7	S11	C4	S12	S7	C5
125	04.02.2020 08:54	10324702761	216729719	04.11.2018 16:21	Complete	Complete	Lindås	General	Female	Frekhaug		2-5 years ago	A couple of times a month	Almost every day	In another country	In another country	Dei snakker ikkje norsk	dei snakker ikkje norsk	Vocational training	Vocational training and other	Bergen/Stril	bergensk/stril	Old Norwegian/Stril	gammelt norsk/stril	"Vekslar, eg bruk ""å være"" når eg snakker men hvis eg leser høgt fra en bok så sier eg ""å væra"""	Mix, mainly være	Mix, mainly solen and sola, never solæ	Vekslar, mest solen og sola, aldri solæ	Mix, mainly jenten and jenta	Vekslar, mest jenten og jenta	Mix, mainly vi	"Vekslar, eg bruker oftest ""vi"" når eg snakker men det hender at eg begynner å si ""me"" uten å innse det"	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not at all important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Not that important	Little or never	A lot every day	Little or never	A couple of times per week	A lot every day	No	Bergen	Bergensar	(Bergensar)	4	3	3	2	3	1	1	3		2	1		3		4	2		2	3
126	04.02.2020 08:47	10772105388	216729719	03.06.2019 09:33	Complete	Complete	Lindås	General	Female	Leknes	Peripheral	5-10 years ago	Less than once a month	A couple of times a month	Hordaland except Bergen	Local or neighboring municipality	Bokmål/bergenser	nynorsk men ikke stril	Vocational training	Vocational training and other	Bokmål Norwegian / Bergen	bokmål/bergenser	Stril / Nynorsk Norwegian	stril/nynorsk	Være	være	solen	Solen	jenten	Jenten	Mix	Vekslar, om jeg er med noen som snakker veldig stril blir jeg lett påvirka	Mix	Vekslar, blur fort påverka av korleis dein andre rundt meg snakkar	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Not at all important	Very important	Not at all important	Not at all important	Very important	Not at all important	A couple of times per week	A bit every day	A bit every day	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	4	5	4		5	5	2	2	2	5	4	5	5	5	4	4	3	5	5
127	04.02.2020 08:49	10772113182	216729719	03.06.2019 09:40	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Bergensk	bergensk	Vocational training	Vocational training and other	Bergen	bergensk	Stril	strila	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not that important	Somewhat important	Not that important	Not that important	Somewhat important	Very important	A bit every day	A bit every day	A lot every day	Little or never	A bit every day	About the same	Bergen	Bergensar	(Bergensar)	5	4	4	1	4	5	1	5	2	4	4	5	4	2	4	2	4	2	4
128	04.02.2020 08:43	10772120545	216331141	03.06.2019 09:47	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	About once a week	About once a week	In another country	In another country			General studies	General studies	Bergen	Bergen	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Very important	Not that important	Not that important	Somewhat important	Somewhat important	Not at all important	Little or never	A lot every day	A couple of times per week	Little or never	A lot every day	Yes	Bergen	Bergensar	(Bergensar)	4	4	3	2	5	1	1	2	3	4	2	5	2	5	4	5	5	2	2
138	04.02.2020 08:46	11321031245	234901686	04.02.2020 11:32	Complete	Complete	Lindås	General	Male	Knarvik	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Hordaland except Bergen	striling	vossing/striling	Vocational training	Vocational training and other	Stril	striling	Stril	striling	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Not at all important	Somewhat important	Somewhat important	Not at all important	Somewhat important	Very important	Little or never	Little or never	Practially all the time	Little or never	A lot every day	About the same	Lindås, like utanfor Bergen	Stril	Ikkje så veldig	4	5	4	2	4	4	2	5	2	4	3	4	2	4		2	4	4	2
140	04.02.2020 08:45	10772104822	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Female	Knarvik	Central	2-5 years ago	Several times a week	A couple of times a month	Bergen	Bergen	Bergensk	bergensk	Vocational training	Vocational training and other	Bergen	bergensk	Bergen	bergensk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	da	Da	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A couple of times per week	Practially all the time	A bit every day	Little or never	Practially all the time	No	Bergen	Bergensar	(Bergensar)	4		3	5	4	5	1	1	1	2	1	5	1	1	4	3	3	1	1
141	04.02.2020 08:48	11321166612	234901686	04.02.2020 12:40	Complete	Complete	Lindås	General	Male	Knarvik	Central	My whole life	Less than once a month	Less than once a month	In another country	Hordaland except Bergen	utenlandsk	stril	General studies	General studies	Stril	stril	Stril	stril	væra	væra	solen	Solen	jento	Jento	me	Me	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not at all important	Not at all important	Not that important	Not that important	Not that important	Somewhat important	Somewhat important	Little or never	Little or never	A lot every day	A bit every day	A couple of times per week	Yes	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	3	4	3	4	5	5	3	5	2	5	4	3	3	3	3	3			3
145	04.02.2020 08:42	10772104730	216331141	03.06.2019 09:32	Complete	Complete	Lindås	General	Male	Knarvik	Central	2-5 years ago	A couple of times a month	A couple of times a month	Bergen	Bergen	Bergensk	Bergensk	Vocational training	Vocational training and other	Bergen	Bergensk	Don't know	vet ikke	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Not that important	Very important	Very important	Somewhat important	Not that important	Somewhat important	Somewhat important	Little or never	A bit every day	A lot every day	Little or never	A bit every day	Yes	Bergen	Bergensar	(Bergensar)		4	3	4	4	3	4	1	3	4	3	3	3	3	2	3		3	3
146	04.02.2020 08:44	10218493683	216729719	14.09.2018 23:58	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	Less than once a month	Less than once a month	Hordaland except Bergen	Local or neighboring municipality	stril	stril	Vocational training	Vocational training and other	Mix of Bergen and Stril	blanding av stril og bergensk	Stril	stril	Være	være	solen	Solen	Mix, mainly jenten	Vekslar, mest jenten	Mix, mainly vi	Vekslar, mest vi	da	Da	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Very important	Very important	Not that important	Somewhat important	Very important	Little or never	A bit every day	Practially all the time	Little or never	Practially all the time	Yes	Bergen	Stril	Ikkje så veldig	5	4	3	2	4	5	3	3	1	4	3	2	5	4	3	2	4	4	
147	04.02.2020 08:46	10250764830	216729719	01.10.2018 21:11	Complete	Complete	Lindås	General	Male	Knarvik	Central	5-10 years ago	A couple of times a month	A couple of times a month	Local or neighboring municipality	Bergen	Knarvik språk	Bergensk	Vocational training	Vocational training and other	Mix of Bergen and Stril	Blanding av bergensk og stril	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Not at all important	Very important	Not at all important	Not at all important	Somewhat important	Very important	A couple of times per week	Practially all the time	Practially all the time	Little or never	Practially all the time	Yes	Bergen	Bergensar	(Bergensar)	5	5	2	2	5	5	1	2	2	4	2	5	5	4	5	1	5	5	5
148	04.02.2020 08:44	10772136710	216331141	03.06.2019 10:02	Complete	Complete	Lindås	General	Female	Alversund	Central	Before school	A couple of times a month	A couple of times a month	Local or neighboring municipality	Bergen	litt stril	mest bergensk	TAF bygg	Vocational training and other	Mix of Nynorsk and Bokmål Norwegian	blanding av nynorsk og bokmål	Stril, but some talk more Bergen	stril men nokon snakkar meir bergensk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	I speak mainly Bokmål Norwegian, but mix in many Nynorsk Norwegian words	Bokmål	Not that important	Not that important	Very important	Very important	Very important	Very important	Not that important	Little or never	A lot every day	A couple of times per week	Little or never	Practially all the time	About the same	Frå litt utanfor Bergen	Bergensar	(Bergensar)	3	3	4	3	4	5		4	2	4	2	4	3		3	3			3
149	04.02.2020 08:41	10772121463	216331141	03.06.2019 09:48	Complete	Complete	Lindås	General	Female	Frekhaug		My whole life	A couple of times a month	About once a week	Local or neighboring municipality	Bergen	stril	bergenser	General studies	General studies	Stril	stril	Stril	stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Not that important	Very important	Not that important	Not at all important	Very important	Not at all important	Little or never	A bit every day	Little or never	Little or never	Practially all the time	About the same	Bergen	Bergensar	(Bergensar)	4	4	5	1	2	1	1	3	1	2	2	4	5		5	1	2	2	2
152	04.02.2020 08:50	11321176468	234901686	04.02.2020 12:45	Complete	Complete	Lindås	General	Male	Alversund	Central	My whole life	A couple of times a month	A couple of times a month	In another country	Local or neighboring municipality	svensk	bergensk og strilsk en blanding	Vocational training	Vocational training and other	Weak Bergen	svak bergensk	Stril	strilsk	Være	være	solen	Solen	jenta	Jenta	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Not that important	Not that important	Not that important	Somewhat important	A couple of times per week	A bit every day	A lot every day	Little or never	A lot every day	No	Knarvik	Bergensar	(Bergensar)	4	5	3	3	5	5	4	4	2	3	5	3	2				3	4	
155	04.02.2020 13:54	11321165406	234901686	04.02.2020 12:40	Complete	Complete	Lindås	Sample	Female	Alversund	Central	My whole life	Less than once a month	A couple of times a month			Stril	Stril	No plans yet	No plans yet	Bergen (not posh Bergen)	Bergensk (ikke pent)			Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Somewhat important	Somewhat important	Somewhat important	Not at all important	Very important	Somewhat important	A bit every day	A lot every day	Practially all the time	Little or never	A lot every day	No	Lindås, like utanfor Bergen	Stril	Nei, ikkje i det heile tatt	4	4	2	1	4	4	1	3	1	2	2	3	2	3	1	1	4	4	3
156	04.02.2020 13:54	10772127210	216331141	03.06.2019 09:53	Complete	Complete	Lindås	Sample	Male	Alversund	Central	My whole life	Less than once a month	Less than once a month			Blanding mellom stril og bergensk (mest stril)	Blanding mellom stril og bergensk	Vocational training	Vocational training and other	Mix of Bergen and Stril	Blanding mellom stril og bergensk			Vekslar, mest være	Mix, mainly være	Mix, mainly sola	Vekslar, mest sola	jenten	Jenten	vi	Vi	Mix, mainly det	Vekslar, mest det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Somewhat important	Very important	Very important	Not at all important	Very important	Somewhat important	Very important	Little or never	A bit every day	A couple of times per week	Little or never	A lot every day	About the same	Alversund, about 30 minutes outside of Bergen	Strila-bergenser	Nei, ikkje i det heile tatt	4	4	2	3	5	4	2	4	2	3	4				5			4	
163	04.02.2020 09:49	11321030449	234901686	04.02.2020 11:32	Complete	Complete	Lindås	Sample	Female	Alversund	Central	My whole life	A couple of times a month	A couple of times a month			Blanding mellom stril og bergensk	Blanding mellom stril og bergensk	General studies	General studies	Mix of Bergen and Stril	Blanding mellom stril og bergensk			Være	være	solen	Solen	jenten	Jenten	Mix, mainly vi	Vekslar, mest vi	det	Det	Mix	I mix a lot	Bokmål	Somewhat important	Not at all important	Somewhat important	Not that important	Not at all important	Somewhat important	Not at all important	Little or never	A bit every day	Little or never	Little or never	A lot every day	No	Litt utanfor Bergen	Eg veit ikkje	Ikkje så veldig	4	5	5	5	5		5	4	4	5	5			4		5	5	5	
164	04.02.2020 09:46	10772118305	216331141	03.06.2019 09:45	Complete	Complete	Lindås	General	Male				A couple of times a month	A couple of times a month					General studies	General studies					Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Bokmål	Very important	Very important	Very important	Not at all important	Not at all important	Somewhat important	Not that important	A couple of times per week	A bit every day	A couple of times per week	Little or never	A lot every day		Bergen	Bergensar		3	4	4	3	5	5	5	3	2	3	3	4	3	3	3				3
167	03.02.2020 11:28	11321171980	234901686	04.02.2020 12:43	Non-complete	Non-complete	Lindås						A couple of times a month	A couple of times a month					No plans yet	No plans yet					væra	væra	sola	Sola	jenta	Jenta	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Bokmål	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Practially all the time	Practially all the time	Practially all the time	Practially all the time	Practially all the time	No	Lindås										1											
1	03.06.2019 10:07	11320736154	234901686	04.02.2020 08:36	Complete	Complete	Øygarden	General	Female	Nautnes	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Some other place in Norway	Stril	Østfold	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	Væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Somewhat important	Very important	Not that important	Not that important	Somewhat important	Not at all important	A bit every day	A lot every day	A lot every day	Little or never	A bit every day	Yes	Øygarden	Stril	Ja, veldig	2	2	2		5	2		5	1	2	3		4	3	5	2	4	5	3
3	03.06.2019 10:05	10772104005	216331141	03.06.2019 09:32	Complete	Complete	Øygarden	General	Male	Toftøy	Central	My whole life	Less than once a month	Less than once a month	Bergen	In another country	Bergensk	Amerikansk	Vocational training	Vocational training and other	Normal	Vanlig	Normal	Vanlig	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mix	"I mix (I use ""hvordan"" and write ""ikkje"")"	Nynorsk	Not that important	Not that important	Somewhat important	Not that important	Not that important	Not at all important	Somewhat important	A couple of times per week	Little or never	A lot every day	Little or never	Little or never	No	Bergen	<Namn>	Nei, ikkje i det heile tatt		5		1	5	1	3			1	2				3				
4	03.06.2019 10:03	11320731691	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Tjeldstø-Rong-Vik		My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril	Væra	væra	solæ	Solæ	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Very important	Somewhat important	Not at all important	Not at all important	Not that important	Not at all important	A bit every day	A bit every day	A bit every day	Little or never	A bit every day	Yes	Øygarden, like utanfor Bergen	Stril	Ja, veldig	3	5	3		5	5	3	5	3	5	3		5	3	5		4	5	
6	03.06.2019 10:00	11320732474	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Vik	Central	2-5 years ago	A couple of times a month	A couple of times a month	Bergen	Local or neighboring municipality	Bergensk	Stril	Vocational training	Vocational training and other	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Very important	Somewhat important	Not that important	Somewhat important	Somewhat important	Somewhat important	A bit every day	A bit every day	A couple of times per week	Little or never	A bit every day	No	Øygarden, like utanfor Bergen	Bergensar		3	4	4	1	4	1	4	1	3	5	5	1	3	3	5	3	3	3	3
9	03.06.2019 09:57	11320731703	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Vik	Central	My whole life	A couple of times a month	About once a week	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Stril	Stril			sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Somewhat important	Somewhat important	Not that important	Not that important	Very important	Very important	A lot every day	A lot every day	Practially all the time	A lot every day	Practially all the time	Yes	Øygarden, like utanfor Bergen	Øygarding	Ikkje så veldig	4	5	4	2	5	5	2	5	2	4	3	4	3	5	5	4	5	5	4
11	03.06.2019 09:56	11320745233	234901686	04.02.2020 08:41	Complete	Complete	Øygarden	General	Female	Blomvåg	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	General studies	General studies	Watered down Stril	Utvaska stril	Pure Stril	Rein stril			sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Somewhat important	Somewhat important	Not at all important	Not at all important	Somewhat important	Not at all important	A couple of times per week	A bit every day	A lot every day	Little or never	A bit every day	Yes	Øygarden	Stril	Ja, veldig	3		4	3	1	4	3	5		4	3	4	3	1	3	3	4	1	3
14	03.06.2019 09:59	11320732847	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Female	Rong	Central	2-5 years ago	A couple of times a month	Less than once a month	Some other place in Norway	Local or neighboring municipality	Har ingen peiling	Stril	Upper secondary school		Stril or mix	Stril eller blanding	Stril or Øygarden dialect	Stril eller øygardsdialekt	Væra	væra	solen	Solen	jento	Jento	me	Me	da	Da	Mix	Mix between dialect	Nynorsk	Very important	Not at all important	Not that important	Not at all important	Not at all important	Not that important	Very important	A couple of times per week	A couple of times per week	Practially all the time	Little or never	A lot every day	About the same	Øygarden, like utanfor Bergen	Øygarding	Ikkje så veldig	4	4	4	1	4	1	1	5	1	4	2	4		3	3	2	4	2	
15	03.06.2019 10:00	11320733716	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Male	Rong	Central	Before school	A couple of times a month	A couple of times a month	Some other place in Norway	Bergen	Tausk	Bergensk	General studies	General studies	Bergen	Bergensk	Øygarden	Øygardsk	Være	være	solen	Solen	jenta	Jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Somewhat important	Not that important	Not that important	Somewhat important	Not that important	A couple of times per week	A bit every day	A lot every day	Little or never	Little or never	About the same	Øygarden, like utanfor Bergen	Bergensar		4	5	3		4	1		1	2		1	4	4	2		2		2	4
16	03.06.2019 09:58	11321167514		04.02.2020 13:41	Complete	Complete	Øygarden	General	Male	Tjeldstø, Harkestad	Peripheral	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	General studies	General studies	Bergen with Stril loanwords	Bergens-dialekt med låneord fra stril	Stril	Stril	Være	være	solen	Soln	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Not at all important	Not that important	Not that important	Not that important	Somewhat important	Very important	A couple of times per week	Little or never	Practially all the time	Little or never	A bit every day	About the same	Øygarden, i nærleiken av Bergen	Eg vil ikkje bli kalla noe	Nei, ikkje i det heile tatt	1	5	2	2	5	1	1	1	4	2	4	3	5		3	4	3	2	4
18	03.06.2019 09:55	11320747481	234901686	04.02.2020 08:44	Complete	Complete	Øygarden	General	Female	Nautnes	Peripheral	Before school	Less than once a month	About once a week	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	General studies	General studies	Stril	Stril	Stril	Stril	Væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Somewhat important	Not that important	Not at all important	Not that important	Not at all important	A bit every day	A bit every day	A couple of times per week	Little or never	A couple of times per week	Yes	Øygarden	Stril	Ja, veldig	3	4	2	1	4	1	1	5	4	4	4		4	2	3	2	4	2	4
19	03.06.2019 09:56	10772121483	216331141	03.06.2019 09:43	Complete	Complete	Øygarden	General	Male	Hellesøy	Peripheral	2-5 years ago	A couple of times a month	About once a week	Bergen	Bergen	Stril	Stril	General studies	General studies	Don't know	Vet ikke	Stril	Stril	Være	være	sola	Sola	jenta	Jenta	vi	Vi	det	Det 	Mix	I mix	Nynorsk	Very important	Not at all important	Very important	Somewhat important	Not at all important	Somewhat important	Somewhat important	A couple of times per week	A couple of times per week	A couple of times per week	Little or never	A bit every day	About the same	Bergen	Bergensar		5	5	4	1	5	1	1	1	1	2	1	2	3		3	1	3	1	
20	03.06.2019 09:59	11320743662	234901686	04.02.2020 08:41	Complete	Complete	Øygarden	General	Female	Blomvåg	Central	My whole life	A couple of times a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Healthcare, Childhood and Youth Development	Vocational training and other	Stril	Stril	Well traveled Stril	Bereist stril	Væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Not that important	Very important	Not that important	Not that important	Very important	Not at all important	A bit every day	A lot every day	A bit every day	Little or never	A lot every day	Yes	Øygarden	Øygarding	Ikkje så veldig	3	5	3	3	5	3	3	5	3	5	3	3	4	3	3	3	3	5	3
21	03.06.2019 09:55	10772104478	216331141	03.06.2019 09:32	Complete	Complete	Øygarden	General	Female	Vik	Central	My whole life	A couple of times a month	A couple of times a month	Bergen	Some other place in Norway	Bergensk	Blanding av sogne og bergensk	Vocational training	Vocational training and other	Bergen	Bergensk	Stril dialect	Striladialekt	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det 	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Very important	Somewhat important	Very important	Not that important	Not that important	Not that important	Not at all important	A couple of times per week	A couple of times per week	A bit every day	Little or never	A bit every day	About the same	Bergen	Bergensar		4	5	4	5	5	4	5	1	2	3	3	3	4	3	1	3		4	3
24	03.06.2019 09:58	11320731617	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Female	Torsvik	Central	My whole life	Less than once a month	A couple of times a month	Local or neighboring municipality	Local or neighboring municipality	Stril	Blanding	Vocational training	Vocational training and other	Mix of Bergen and Stril	Blanding Stril/bergensk 	Stril	Stril	Være	være	sola	Sola	jento	Jento	Mix	Vi, me (kjem an på kven eg er med)	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Somewhat important	Very important	Somewhat important	Not that important	Very important	Very important	Practially all the time	Practially all the time	Practially all the time	Little or never	Practially all the time	No	Øygarden, like utanfor Bergen	Stril	Ja, veldig	4	5	4	2	5	4	2	5	2	4	2	3		4	3	2		5	3
25	03.06.2019 09:57	11320734857	234901686	04.02.2020 08:35	Complete	Complete	Øygarden	General	Female	Blomvåg	Central	My whole life	Less than once a month	Less than once a month	Local or neighboring municipality	Local or neighboring municipality	Sundsokning	Stril	Vocational training	Vocational training and other	Stril	Stril	Old Stril	Gamalstril	Væra	væra	sola	Sola	jento	Jento	me	Me	da	Da	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Very important	Very important	Not at all important	Not at all important	Very important	Not at all important	A bit every day	A bit every day	Little or never	Little or never	A bit every day	Yes	Øygarden	Stril	Ja, veldig	1	5	4	1	5	5	1	5	5	5	5	5	5	5	1	5	4	5	1
26	03.06.2019 09:56	11320733349	234901686	04.02.2020 08:34	Complete	Complete	Øygarden	General	Female	Nordre Sæle	Peripheral	5-10 years ago	Less than once a month	Less than once a month	Some other place in Norway	Local or neighboring municipality	Østlandsk	Stril	General studies	General studies	Eastern Norwegian	Østlandsk	Stril	Stril	Være	være	solen	Solen	jenta	Jenta	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Not at all important	Not at all important	Not that important	Not at all important	Not at all important	Somewhat important	Not at all important	A bit every day	Little or never	A couple of times per week	Little or never	Little or never	No	Øygarden, like utanfor Bergen	Øygarding	Ikkje så veldig	5	4	4	3	4	1	5	3	2		5	3	4	2	3			1	4
27	03.06.2019 09:56	11321169395		04.02.2020 13:42	Complete	Complete	Øygarden	General	Male	Toft	Central	5-10 years ago	Less than once a month	A couple of times a month	Hordaland except Bergen	Some other place in Norway	Austevollsdialekt	Årdøl	Media and Communication	General studies	Don't know, some Nynorsk Norwegian features. Mix	Veit ikkje, litt nynorske trekk. Blanding	Stril dialect	Striladialekt	Være	være	sola	Sola	jenta	Jenta	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Very important	Not that important	Very important	Not that important	Not at all important	Somewhat important	Somewhat important	A couple of times per week	A lot every day	A bit every day	Little or never	A lot every day	No	Toft	Øygarding	Set ikkje pris på det	3	4	2	1	5	2	3	2	2	4	4	3	3	3	4	2	3	2	3
29	03.06.2019 09:54	11320731864	234901686	04.02.2020 08:33	Complete	Complete	Øygarden	General	Male	Tjeldstø	Peripheral	My whole life	Less than once a month	About once a week	Local or neighboring municipality	Local or neighboring municipality	Stril	Stril	Vocational training	Vocational training and other	Stril	Stril	Bergen Dialect	Bergens dialekt 	Væra	væra	solen	Solen	jento	Jento	me	Me	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not that important	Very important	Somewhat important	Not that important	Somewhat important	Somewhat important	Not that important	A bit every day	A bit every day	A couple of times per week	Little or never	A lot every day	About the same	Øygarden, like utanfor Bergen	Stril	Ikkje så veldig	4	5	4		4	5	4	5	4	4	4	4	5	4		4	5		4
30	03.06.2019 09:48	10772120579	216331141	03.06.2019 09:47	Complete	Complete	Øygarden	General	Female	Alvheim	Peripheral	2-5 years ago	Several times a week	Several times a week	Some other place in Norway	Some other place in Norway	Sunnfjord	Sunnfjord	General studies	General studies	Bergen / Sunnfjord dialect	Bergensk/sunnfjordsdialekt	Stril	Stril	Være	være	Both, mainly sola	Begge, oftest sola	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Not at all important	Not at all important	Very important	Somewhat important	Not at all important	Very important	Not at all important	A bit every day	A lot every day	A bit every day	Little or never	Practially all the time	No	Bergen	Førdianar eller bergenser	Nei, ikkje i det heile tatt	4	4	4	3	2	1	2	1	1	1	1	2	1	2	1	1	5	1	3
31	03.06.2019 09:49	11320731446	234901686	04.02.2020 08:32	Complete	Complete	Øygarden	General	Male	Rong	Central	2-5 years ago	Less than once a month	A couple of times a month	In another country	In another country	Utlandskk	Utlandsk	Vocational training	Vocational training and other	Foreign	Utlandsk	Norwegian	Norsk	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Nynorsk	Mainly Nynorsk Norwegian	Nynorsk	Somewhat important	Very important	Somewhat important	Not that important	Not at all important	Somewhat important	Very important	Practially all the time	Little or never	Practially all the time	Little or never	A couple of times per week	Yes	Øygarden, like utanfor Bergen	Øygarding	Ikkje så veldig		3	2		5	5	4	1			4		3	3	2		3	2	4
34	03.06.2019 09:45	10772125463	216331141	03.06.2019 09:52	Complete	Complete	Øygarden	General	Male	Rong	Central	5-10 years ago	Several times a week	Almost every day	Bergen	Some other place in Norway	Bergensk	Fredrikstad dialekt	Elite sports football	General studies	Bergen	Bergensk	Stril	Stril	Være	være	solen	Solen	jenten	Jenten	vi	Vi	det	Det	Mainly Bokmål	Mainly Bokmål Norwegian	Nynorsk	Very important	Not at all important	Not that important	Not at all important	Not at all important	Not that important	Not at all important	A couple of times per week	A couple of times per week	A bit every day	Little or never	Little or never	No	Bergen	Bergensar		2	1	2	1	1	2	1	1	2	2	1	1	2	1	5	1	3	1	2
